scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
233,3,10780,682.34693,0.0461,2045.36189,2044.02654,2045.02942,0.0872,2695,5926,7208
233,2,7970,625.3195,0.0191,1249.39211,1248.62554,1248.62554,0.0743,346.52,7970,2443
233,3,7345,820.06356,0.0539,2458.76053,2457.17558,2458.17846,0.0837,1469,3630,7345
233,3,7011,627.64864,0.0162,1881.16558,1879.92721,1880.93009,0.0794,701.1,5923,5307
233,3,6764,830.04137,0.1141,2488.71171,2487.10393,2488.10683,0.0832,76,6764,6048
233,3,4122,630.30946,0.1111,1889.14762,1887.9082,1888.91108,0.0816,374.73,4122,1671
233,2,2984,582.82068,0.0407,1164.33885,1163.62791,1163.62791,0.0591,157.05,2984,0
233,1,2375,582.31295,0.1035,581.6627,581.30622,581.30622,0.0748,25.27,2375,0
233,2,2024,572.35983,0.0787,1143.40468,1142.70621,1142.70621,0.0587,106.53,2024,0
233,2,1490,646.80497,0.0468,1292.38038,1291.59649,1291.59649,0.0649,19.1,1490,0
233,2,1284,610.82588,0.1229,1220.39605,1219.65434,1219.65434,0.0428,51.36,1284,0
233,5,1254,703.36452,0.2179,3513.84136,3511.61183,3513.61733,0.0517,48.23,815,1254
