scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
1,1,63710368,129.05225,1,0,128.04498,128.04498,0.0011,8386.78,63710368,0
1,1,16508723,391.26068,1,0,390.2534,390.2534,0.0058,2173.19,16508723,0
1,1,15608906,301.14092,1,0,300.13364,300.13364,0.004,2054.74,15608906,0
1,1,12395014,99.04176,1,0,98.03448,98.03448,0.0008,1631.67,12395014,0
1,1,11652804,304.26094,1,0,303.25366,303.25366,0.004,1533.97,11652804,0
1,1,7511904,605.42348,1,0,604.4162,604.4162,0.011,988.86,7511904,0
1,1,6651951,561.39719,1,0,560.38991,560.38991,0.01,875.66,6651951,0
1,1,6383643,649.44973,1,0,648.44245,648.44245,0.0123,840.34,6383643,0
1,1,6330763,551.35536,1,0,550.34808,550.34808,0.0097,833.38,6330763,0
1,1,6223721,595.38163,1,0,594.37436,594.37436,0.0109,819.29,6223721,0
1,1,5992145,143.06788,1,0,142.0606,142.0606,0.0013,788.8,5992145,0
1,1,5881420,507.32906,1,0,506.32179,506.32179,0.0085,774.23,5881420,0
1,1,5826706,192.15936,1,0,191.15209,191.15209,0.002,767.02,5826706,0
1,1,5366939,239.16176,1,0,238.15448,238.15448,0.0028,706.5,5366939,0
1,1,5257512,639.4079,1,0,638.40062,638.40062,0.012,692.09,5257512,0
1,1,4403341,693.47601,1,0,692.46873,692.46873,0.0137,579.65,4403341,0
1,1,4375083,437.19326,1,0,436.18598,436.18598,0.0068,575.93,4375083,0
1,1,4216908,217.10456,1,0,216.09729,216.09729,0.0024,555.11,4216908,0
1,1,4102839,305.15694,1,0,304.14966,304.14966,0.004,540.09,4102839,0
1,1,4095844,261.13083,1,0,260.12355,260.12355,0.0031,539.17,4095844,0
1,1,3722815,683.43417,1,0,682.42689,682.42689,0.0134,490.07,3722815,0
1,1,3570413,359.2402,1,0,358.23292,358.23292,0.0052,470.01,3570413,0
1,1,3340865,600.46818,1,0,599.4609,599.4609,0.0111,439.79,3340865,0
1,1,3014224,644.49444,1,0,643.48716,643.48716,0.0123,396.79,3014224,0
1,1,3010225,467.10176,0,0,466.09449,466.09449,0.0075,396.26,3010225,0
1,1,2815205,737.50219,1,0,736.49491,736.49491,0.0151,370.59,2815205,0
1,1,2772484,261.10971,1,0,260.10244,260.10244,0.0033,364.97,2772484,0
1,1,2737004,277.25017,1,0,276.2429,276.2429,0.0035,360.3,2737004,0
1,1,2718126,556.44191,1,0,555.43464,555.43464,0.0099,357.81,2718126,0
1,1,2680644,349.18311,1,0,348.17583,348.17583,0.0049,352.88,2680644,0
1,1,2567854,241.02927,1,0,240.022,240.022,0.0029,338.03,2567854,0
1,1,2500516,249.21881,1,0,248.21154,248.21154,0.003,329.17,2500516,0
1,1,2492273,302.24529,1,0,301.23802,301.23802,0.004,328.08,2492273,0
1,1,2448280,249.10964,1,0,248.10236,248.10236,0.003,322.29,2448280,0
1,1,2413611,463.30276,1,0,462.29548,462.29548,0.0076,317.73,2413611,0
1,1,2408236,727.46036,1,0,726.45308,726.45308,0.0147,317.02,2408236,0
1,1,2368384,517.37092,1,0,516.36364,516.36364,0.0088,311.77,2368384,0
1,1,2339204,688.52068,1,0,687.5134,687.5134,0.0136,307.93,2339204,0
1,1,2265272,590.42624,1,0,589.41896,589.41896,0.0111,298.2,2265272,0
1,1,2262836,305.2813,1,0,304.27402,304.27402,0.0041,297.88,2262836,0
1,1,2152310,546.39998,1,0,545.39271,545.39271,0.0099,283.33,2152310,0
1,1,2103383,634.45256,1,0,633.44528,633.44528,0.0122,276.89,2103383,0
1,1,2066600,173.07841,1,0,172.07113,172.07113,0.0017,272.05,2066600,0
1,1,2037640,393.20922,1,0,392.20194,392.20194,0.0059,268.23,2037640,0
1,1,1946012,136.0732,1,0,135.06592,135.06592,0.0012,256.17,1946012,0
1,1,1898688,284.23723,1,0,283.22996,283.22996,0.0037,249.94,1898688,0
1,1,1898075,167.10422,1,0,166.09694,166.09694,0.0017,249.86,1898075,0
1,1,1875105,157.08346,1,0,156.07618,156.07618,0.0015,246.84,1875105,0
1,1,1817211,386.30516,1,0,385.29788,385.29788,0.0057,239.22,1817211,0
1,1,1703619,289.15386,1,0,288.14658,288.14658,0.0039,224.26,1703619,0
1,1,1686192,781.52843,1,0,780.52115,780.52115,0.0166,221.97,1686192,0
1,1,1670283,351.16937,1,0,350.1621,350.1621,0.005,219.87,1670283,0
1,1,1666316,986.23435,0,0,985.22707,985.22707,0.0235,219.35,1666316,0
1,1,1657121,360.32347,1,0,359.31619,359.31619,0.0052,218.14,1657121,0
1,1,1611358,678.47878,0,0,677.47151,677.47151,0.0134,212.12,1611358,0
1,1,1536623,732.54697,1,0,731.5397,731.5397,0.015,202.28,1536623,0
1,1,1535245,912.21532,0,0,911.20804,911.20804,0.0211,202.1,1535245,0
1,1,1509457,236.20071,1,0,235.19343,235.19343,0.0029,198.7,1509457,0
1,1,1451705,437.23545,1,0,436.22817,436.22817,0.0072,191.1,1451705,0
1,1,1430454,771.48659,1,0,770.47931,770.47931,0.0161,188.3,1430454,0
1,1,1401954,333.3126,1,0,332.30532,332.30532,0.0047,184.55,1401954,0
1,1,1400729,413.26594,1,0,412.25867,412.25867,0.0066,184.39,1400729,0
1,1,1368128,987.23302,0,0,986.22574,986.22574,0.024,180.1,1368128,0
1,1,1365105,279.15916,1,0,278.15188,278.15188,0.0034,179.7,1365105,0
1,1,1303764,502.37359,1,0,501.36632,501.36632,0.0084,171.63,1303764,0
1,1,1292093,249.18235,1,0,248.17508,248.17508,0.0031,170.09,1292093,0
1,1,1279998,911.21535,0,0,910.20807,910.20807,0.0214,168.5,1279998,0
1,1,1274312,221.1874,1,0,220.18013,220.18013,0.0025,167.75,1274312,0
1,1,1260801,235.16668,1,0,234.15941,234.15941,0.0028,165.97,1260801,0
1,1,1248474,245.07829,1,0,244.07101,244.07101,0.003,164.35,1248474,0
1,1,1229479,233.07826,1,0,232.07098,232.07098,0.0028,161.85,1229479,0
1,1,1224698,985.23426,0,0,984.22698,984.22698,0.0238,161.22,1224698,0
1,1,1214309,309.20346,1,0,308.19618,308.19618,0.0042,159.85,1214309,0
1,1,1175810,722.50497,1,0,721.4977,721.4977,0.0145,154.78,1175810,0
1,1,1170237,281.24498,1,0,280.23771,280.23771,0.0037,154.05,1170237,0
1,1,1137487,301.28482,1,0,300.27755,300.27755,0.004,149.74,1137487,0
1,1,1136866,462.14641,0,0,461.13913,461.13913,0.0076,149.66,1136866,0
1,1,1118709,481.26167,1,0,480.2544,480.2544,0.008,147.27,1118709,0
1,1,1114341,185.11477,1,0,184.1075,184.1075,0.002,146.69,1114341,0
1,1,1078325,381.29727,1,0,380.28999,380.28999,0.0058,141.95,1078325,0
1,1,1071156,125.02095,1,0,124.01367,124.01367,0.0011,141.01,1071156,0
1,1,1047417,393.08291,0,0,392.07564,392.07564,0.0059,137.88,1047417,0
1,1,1035143,913.21365,0,0,912.20638,912.20638,0.0218,136.27,1035143,0
1,1,1027199,134.05754,1,0,133.05026,133.05026,0.0011,135.22,1027199,0
1,1,1012341,183.13552,1,0,182.12825,182.12825,0.0019,133.26,1012341,0
1,1,983447,354.28481,1,0,353.27753,353.27753,0.0051,129.46,983447,0
1,1,982892,825.55485,1,0,824.54758,824.54758,0.0177,129.39,982892,0
1,1,981058,837.19627,0,0,836.189,836.189,0.0183,129.15,981058,0
1,1,963771,986.73387,0,0,985.72659,985.72659,0.0243,126.87,963771,0
1,1,961698,512.41553,1,0,511.40825,511.40825,0.0089,126.6,961698,0
1,1,957570,776.57324,1,0,775.56597,775.56597,0.016,126.05,957570,0
1,1,956586,949.7244,0,0,948.71712,948.71712,0.0222,125.92,956586,0
1,1,952676,120.98726,0,0,119.97998,119.97998,0.0011,125.41,952676,0
1,1,943283,949.22461,0,0,948.21734,948.21734,0.023,124.17,943283,0
1,1,942437,146.11743,1,0,145.11015,145.11015,0.0013,124.06,942437,0
1,1,907912,237.14589,1,0,236.13862,236.13862,0.0028,119.52,907912,0
1,1,902756,191.10415,1,0,190.09688,190.09688,0.0021,118.84,902756,0
1,1,888526,363.15647,1,0,362.14919,362.14919,0.0054,116.96,888526,0
1,1,879322,323.25548,1,0,322.2482,322.2482,0.0045,115.75,879322,0
1,1,859773,409.16189,1,0,408.15462,408.15462,0.0065,113.18,859773,0
1,1,859035,276.22965,1,0,275.22237,275.22237,0.0035,113.08,859035,0
1,1,856301,335.17445,1,0,334.16717,334.16717,0.0047,112.72,856301,0
1,1,828687,525.28809,1,0,524.28081,524.28081,0.0093,109.09,828687,0
1,1,818072,233.18739,1,0,232.18011,232.18011,0.0028,107.69,818072,0
1,1,812898,141.08848,1,0,140.08121,140.08121,0.0012,107.01,812898,0
1,1,808865,289.17735,1,0,288.17007,288.17007,0.0038,106.48,808865,0
1,1,803659,838.19624,0,0,837.18896,837.18896,0.0187,105.79,803659,0
1,1,794290,259.16675,1,0,258.15947,258.15947,0.0034,104.56,794290,0
1,1,791682,361.34384,1,0,360.33657,360.33657,0.0052,104.22,791682,0
1,1,786257,815.51296,1,0,814.50568,814.50568,0.0174,103.5,786257,0
1,1,779436,912.715,0,0,911.70772,911.70772,0.0211,102.6,779436,0
1,1,769307,289.25008,1,0,288.2428,288.2428,0.0038,101.27,769307,0
1,1,765839,948.72518,0,0,947.7179,947.7179,0.0222,100.81,765839,0
1,1,765830,179.1042,1,0,178.09692,178.09692,0.0019,100.81,765830,0
1,1,762509,305.24493,1,0,304.23766,304.23766,0.0042,100.38,762509,0
1,1,756823,763.17706,0,0,762.16978,762.16978,0.0158,99.63,756823,0
1,1,756364,766.5313,1,0,765.52403,765.52403,0.0158,99.57,756364,0
1,1,753749,758.22191,0,0,757.21463,757.21463,0.0155,99.22,753749,0
1,1,745968,353.266,1,0,352.25872,352.25872,0.005,98.2,745968,0
1,1,742368,282.27904,1,0,281.27177,281.27177,0.0037,97.72,742368,0
1,1,739800,950.22383,0,0,949.21655,949.21655,0.0225,97.39,739800,0
1,1,727351,107.07024,0,0,106.06297,106.06297,0.0008,95.75,727351,0
1,1,727105,124.09686,1,0,123.08958,123.08958,0.0011,95.72,727105,0
1,1,723536,993.75997,0,0,992.75269,992.75269,0.0238,95.25,723536,0
1,1,723065,432.23786,1,0,431.23058,431.23058,0.0069,95.18,723065,0
1,1,719543,229.14083,1,0,228.13355,228.13355,0.0027,94.72,719543,0
1,1,717610,171.09906,1,0,170.09178,170.09178,0.0018,94.47,717610,0
1,1,715224,988.23223,0,0,987.22496,987.22496,0.0238,94.15,715224,0
1,1,713685,985.7348,0,0,984.72752,984.72752,0.0245,93.95,713685,0
1,1,703843,689.15839,0,0,688.15112,688.15112,0.0138,92.65,703843,0
1,1,698540,226.14111,1,0,225.13384,225.13384,0.0027,91.96,698540,0
1,1,677262,993.26031,0,0,992.25303,992.25303,0.0239,89.15,677262,0
