frame_num,ims_scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,orig_intensity,TIA_orig_intensity,drift_time
500,213,3,1006,280.82068,0.0273,839.94489,839.43445,840.43731,0.0407,13.78,496,0,0,0,0
500,216,2,1517,230.16484,0.8189,458.56574,458.31404,458.31404,0.0354,567.5,1135,0,0,0,0
500,216,3,14167,253.16053,0.6052,756.77352,756.4581,756.4581,0.0406,387.36,9684,0,0,0,0
500,217,2,1724,230.16499,0.7333,458.59024,458.31432,458.31432,0.0361,625.5,1251,0,0,0,0
500,217,3,21786,253.16017,0.5676,756.72787,756.45704,756.45704,0.0412,612.42,15923,0,0,0,0
500,218,2,2193,230.16317,0.8276,458.55958,458.31069,458.31069,0.0408,164.6,1646,0,0,0,0
500,218,3,20220,253.16039,0.7557,756.70689,756.45768,756.45768,0.0414,410.46,15187,0,0,0,0
500,219,2,1256,230.15427,0.3502,458.65544,458.2929,458.2929,0.0437,80.3,803,0,0,0,0
500,220,3,3406,253.1527,0.6916,756.72622,756.43461,756.43461,0.0552,2419,2419,0,0,0,0
500,222,2,1411,281.14886,0.9664,560.52553,560.28208,560.28208,0.0491,118.67,1068,0,0,0,0
500,223,2,2047,249.67153,0.6842,497.62594,497.3274,497.3274,0.0536,110.38,1435,0,0,0,0
500,223,3,2406,275.49394,0.6278,823.76939,823.45836,823.45836,0.0446,237.29,1661,0,0,0,0
500,224,2,1798,249.66971,0.8669,497.57626,497.32376,497.32376,0.0518,103.54,1346,0,0,0,0
500,224,2,5948,281.15928,0.8545,560.52479,560.3029,560.3029,0.0453,926,4630,0,0,0,0
500,225,2,2945,237.15936,0.7758,472.47099,472.30307,472.30307,0.041,122.6,2452,0,0,0,0
500,227,2,2672,268.16833,0.015,534.76288,534.321,534.321,0.0443,25.76,1494,0,0,0,0
500,227,2,8663,281.16226,0.5026,560.45431,560.30886,560.30886,0.0376,3703,7406,0,0,0,0
500,228,2,5844,281.1626,0.4638,560.46146,560.30956,560.30956,0.0414,309.75,4956,0,0,0,0
500,229,2,5586,281.15955,0.8062,560.50487,560.30346,560.30346,0.0455,278.94,4463,0,0,0,0
500,229,3,6936,364.86834,0.5347,1091.86965,1091.58155,1091.58155,0.0546,381.23,4956,0,0,0,0
500,230,2,7405,281.15787,0.8193,560.56575,560.30009,560.30009,0.0445,129.79,5451,0,0,0,0
500,230,2,1823,306.66356,0.9452,611.57643,611.31148,611.31148,0.0519,21.97,1340,0,0,0,0
500,230,3,11944,364.87002,0.5078,1092.00606,1091.58658,1091.58658,0.0515,615.62,8003,0,0,0,0
500,231,2,12463,281.15833,1.8757,560.65685,560.30102,560.30102,0.0433,466.53,8864,0,0,0,0
500,231,4,1033,307.84721,0.0359,1227.91209,1227.36321,1228.36607,0.0288,24.47,465,0,0,0,0
500,231,3,13137,364.87024,2.1209,1092.0742,1091.58724,1091.58724,0.0513,131.28,8008,0,0,0,0
500,231,3,1778,387.52937,0.3006,1160.08619,1159.55677,1160.55963,0.0568,94,846,0,0,0,0
500,232,2,14758,258.66174,0.7393,515.48335,515.30783,515.30783,0.0385,468.19,12173,0,0,0,0
500,232,6,1336,329.70501,0.0171,1972.6247,1972.18312,1972.18312,0.0361,74.5,745,0,0,0,0
500,232,2,2520,339.16454,0.6965,676.56899,676.31343,676.31343,0.0366,117.56,1881,0,0,0,0
500,232,3,8350,364.87064,0.2971,1091.94655,1091.58845,1091.58845,0.0501,117.04,5384,0,0,0,0
500,232,2,3475,366.70099,0.2806,731.53219,731.38633,731.38633,0.0486,141.52,2972,0,0,0,0
500,233,2,26393,258.66225,1.0481,515.53627,515.30886,515.30886,0.0412,1527.36,21383,0,0,0,0
500,233,2,22728,281.15943,0.6546,560.49131,560.30321,560.30321,0.043,6155,18465,0,0,0,0
500,233,3,3026,326.15128,0.4488,975.79095,975.43036,975.43036,0.0504,55.57,1945,0,0,0,0
500,233,2,3957,339.16683,0.3975,676.68477,676.318,676.318,0.0409,278.56,2507,0,0,0,0
500,234,2,23393,281.15977,0.7283,560.49218,560.3039,560.3039,0.0433,6336.33,19009,0,0,0,0
500,234,2,11413,286.70051,0.5219,571.55453,571.38537,571.38537,0.0439,557.76,9482,0,0,0,0
500,234,3,2251,326.15651,0.1616,975.8732,975.44605,975.44605,0.0538,144.11,1297,0,0,0,0
500,234,7,1532,330.54236,0.1322,2307.22204,2306.74177,2306.74177,0.0481,38.1,800,0,0,0,0
500,234,2,4999,339.16722,0.7148,676.6614,676.31879,676.31879,0.0432,364.89,3284,0,0,0,0
500,234,3,2277,364.86661,0.3091,1091.97034,1091.57635,1091.57635,0.0554,60,1380,0,0,0,0
500,234,3,1210,389.86235,0.0081,1167.02258,1166.56357,1166.56357,0.0525,93,651,0,0,0,0
500,235,2,1779,269.65016,0.5021,537.62883,537.28468,537.28468,0.0496,233.8,1169,0,0,0,0
500,235,2,17569,281.15967,0.5863,560.47833,560.3037,560.3037,0.0435,14491,14491,0,0,0,0
500,235,2,24733,286.70181,0.6985,571.57287,571.38798,571.38798,0.0459,5036.5,20146,0,0,0,0
500,235,6,1195,309.50045,0.693,1851.5378,1850.93808,1851.94094,0.0611,489,489,0,0,0,0
500,235,3,2063,432.21502,0.4214,1294.14358,1293.6094,1294.61226,0.0603,37.54,976,0,0,0,0
500,236,2,2684,269.65459,0.849,537.56184,537.29354,537.29354,0.0459,49.05,1962,0,0,0,0
500,236,2,11385,281.16012,0.9667,560.53268,560.30459,560.30459,0.044,244.22,8792,0,0,0,0
500,236,2,39222,286.7021,1.436,571.63213,571.38855,571.38855,0.0452,7726.75,30907,0,0,0,0
500,236,2,2069,326.70205,0.7567,651.71551,651.38845,651.38845,0.0446,69.7,1394,0,0,0,0
500,236,2,2237,333.67221,0.9647,665.60302,665.32878,665.32878,0.05,39.54,1621,0,0,0,0
500,236,3,3307,386.54788,0.4692,1156.90342,1156.62016,1156.62016,0.0512,98.54,2365,0,0,0,0
500,236,3,1421,428.19785,0.9667,1281.97985,1281.57007,1281.57007,0.0662,22.26,846,0,0,0,0
500,236,3,3330,432.21171,0.5995,1294.10602,1293.61166,1293.61166,0.0617,64.46,1676,0,0,0,0
500,236,3,1982,435.56518,0.3208,1303.9516,1303.67207,1303.67207,0.0464,35.72,1429,0,0,0,0
500,237,2,7148,258.66161,0.9969,515.5254,515.30757,515.30757,0.0436,2795,5590,0,0,0,0
500,237,2,39963,286.70135,1.4196,571.61752,571.38705,571.38705,0.046,8002.5,32010,0,0,0,0
500,237,3,1658,428.20128,0.7122,1281.94009,1281.58036,1281.58036,0.0754,25.9,1062,0,0,0,0
500,237,3,2894,432.21076,0.7558,1294.08081,1293.6088,1293.6088,0.0605,36.74,1543,0,0,0,0
500,238,4,8227,317.42237,0.6656,1266.00387,1265.65817,1265.65817,0.047,5369,5369,0,0,0,0
500,238,2,7909,326.70181,0.3494,651.52784,651.38798,651.38798,0.0458,851,6808,0,0,0,0
500,238,5,1426,335.49409,0.6789,1673.00624,1672.42825,1673.4311,0.0483,20.9,606,0,0,0,0
500,238,2,1664,340.68256,0.1714,679.80127,679.34947,679.34947,0.0533,83.09,914,0,0,0,0
500,238,3,9048,386.54613,2.0772,1157.11895,1156.61493,1156.61493,0.0522,89.73,5743,0,0,0,0
500,238,3,2779,428.20127,0.6245,1282.21764,1281.58035,1281.58035,0.0742,46.35,1576,0,0,0,0
500,239,2,9570,306.20046,1.2382,610.71415,610.38528,610.38528,0.0448,151.28,6959,0,0,0,0
500,239,4,14276,317.42231,0.8372,1266.03519,1265.65792,1265.65792,0.0442,681.46,8859,0,0,0,0
500,239,2,8938,326.70037,0.7466,651.60363,651.38509,651.38509,0.0466,131.89,6990,0,0,0,0
500,239,3,5829,386.54524,0.2732,1156.8538,1156.61224,1156.61224,0.0501,221.85,4437,0,0,0,0
500,240,2,21261,306.19999,0.8372,610.6962,610.38433,610.38433,0.0455,1700.11,15301,0,0,0,0
500,240,4,17329,317.42249,0.5335,1266.26508,1265.65865,1265.65865,0.046,456.52,9587,0,0,0,0
500,240,2,7514,337.20724,0.6834,672.61179,672.39884,672.39884,0.049,493.17,5918,0,0,0,0
500,240,2,1297,354.70545,0.102,707.82367,707.39525,707.39525,0.0704,28.62,744,0,0,0,0
500,240,2,4815,379.23481,0.5621,756.78333,756.45396,756.45396,0.0578,190.41,3237,0,0,0,0
500,240,3,2524,386.5469,0.3007,1156.8653,1156.61724,1156.61724,0.0505,100.21,1904,0,0,0,0
500,240,3,1383,407.22363,0.6039,1218.99098,1218.64743,1218.64743,0.0599,19.72,907,0,0,0,0
500,241,2,27950,306.20092,0.7967,610.60134,610.38618,610.38618,0.0493,2438.67,21948,0,0,0,0
500,241,4,13637,317.42131,0.7628,1266.27198,1265.65396,1265.65396,0.0465,331.95,6971,0,0,0,0
500,241,2,4428,326.7,0.516,651.76611,651.38434,651.38434,0.0511,105.54,2744,0,0,0,0
500,241,2,6421,337.20585,0.5784,672.62799,672.39605,672.39605,0.0481,120.37,4935,0,0,0,0
500,241,2,1567,361.21183,0.2977,720.79581,720.40802,720.40802,0.0567,68.43,958,0,0,0,0
500,241,2,7470,372.22465,0.5817,742.7595,742.43365,742.43365,0.0526,632.38,5059,0,0,0,0
500,241,2,23344,379.23648,0.4505,756.70564,756.45732,756.45732,0.055,1949.67,17547,0,0,0,0
