frame_num,ims_scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,orig_intensity,TIA_orig_intensity,drift_time,flag
800,207,2,868,402.73653,0.03,803.9533,803.4596,803.4596,0.0762,868,868,0,9,18,20.315,
800,208,4,1374,402.23009,0.1537,1605.95657,1604.89349,1604.89349,0.0781,152.67,1374,868,115,579,20.413,
800,209,2,1472,462.25079,0.0711,923.0497,922.48813,922.48813,0.0777,490.67,1472,255,87,239,20.511,
800,209,4,1374,402.23009,0.1562,1605.95654,1604.89345,1604.89345,0.0781,152.67,1374,868,255,1275,20.511,
800,210,2,1781,462.25184,0.0423,923.05179,922.49023,922.49023,0.0841,593.67,1781,255,167,501,20.609,
800,210,4,1175,402.23824,0.1417,1605.98914,1604.92605,1604.92605,0.0757,130.56,1175,868,19,95,20.609,
800,210,2,958,461.99755,0.2333,922.5432,921.98164,921.98164,0.1653,30.9,958,255,167,501,20.609,
800,211,2,1781,462.25184,0.0423,923.05179,922.49023,922.49023,0.0841,593.67,1781,255,34,98,20.707,
800,211,4,1175,402.23824,0.1417,1605.98914,1604.92605,1604.92605,0.0757,130.56,1175,868,57,339,20.707,
800,212,4,1829,462.00421,0.0967,1845.19424,1843.9799,1844.98277,0.0827,609.67,1425,390,11,288,20.805,
800,212,4,1175,402.23824,0.1416,1605.98914,1604.92605,1604.92605,0.0757,130.56,1175,868,657,1201,20.805,
800,213,4,1829,462.25108,0.0953,1845.18885,1843.97451,1844.97739,0.0866,609.67,1829,0,255,255,20.904,1
800,213,4,1175,402.23824,0.125,1605.98914,1604.92605,1604.92605,0.0757,130.56,1175,613,76,304,20.904,
800,213,3,1017,535.59807,0.1256,1604.83696,1603.77403,1603.77403,0.0724,145.29,1017,318,4,16,20.904,
800,213,3,908,449.21603,0.091,1345.53722,1344.62791,1344.62791,0.0695,20.64,908,357,61,232,20.904,
800,213,4,815,529.1796,0.1775,2114.06843,2112.6915,2113.69438,0.0613,163,815,289,124,384,20.904,1
800,214,4,1829,462.25108,0.1111,1845.18885,1843.97451,1844.97739,0.0866,609.67,1829,0,33,33,21.002,1
800,214,2,1613,416.27252,0.0739,831.03866,830.53159,830.53159,0.078,230.43,1613,725,51,153,21.002,
800,214,4,1175,402.23824,0.126,1605.98914,1604.92605,1604.92605,0.0757,130.56,1175,613,6,24,21.002,
800,214,3,1017,535.59807,0.1241,1604.83695,1603.77402,1603.77402,0.0724,145.29,1017,573,9,36,21.002,
800,214,2,908,449.21603,0.0534,896.96695,896.41861,896.41861,0.0695,20.64,908,255,255,765,21.002,
800,214,4,815,528.93828,0.0867,2113.06554,2111.68861,2112.69149,0.0613,163,448,507,9,45,21.002,1
800,215,2,2880,416.27466,0.119,831.04294,830.53587,830.53587,0.0729,411.43,2880,1300,7,11,21.1,
800,215,4,1829,462.25108,0.1017,1845.18885,1843.97451,1844.97739,0.0866,609.67,1829,0,70,70,21.1,1
800,215,3,1272,535.59985,0.0729,1604.84231,1603.77937,1603.77937,0.0725,181.71,1272,573,50,200,21.1,
800,215,4,1175,402.23824,0.1484,1605.98914,1604.92605,1604.92605,0.0757,130.56,1175,497,19,76,21.1,
800,215,4,815,528.93828,0.0809,2113.10097,2111.72404,2112.72692,0.0812,163,448,507,255,865,21.1,1
800,216,2,3819,416.2705,0.0327,831.03461,830.52754,830.52754,0.0754,545.57,3819,1300,71,581,21.198,
800,216,3,1967,441.24715,0.2442,1321.53017,1320.72127,1320.72127,0.0774,70.25,1967,256,8,324,21.198,
800,216,4,1829,462.25108,0.1056,1845.18885,1843.97451,1844.97739,0.0862,609.67,1829,0,48,48,21.198,1
800,216,3,1272,535.59985,0.0729,1604.84231,1603.77937,1603.77937,0.0725,141.33,1272,573,351,1170,21.198,
800,216,1,830,511.92996,0.1233,511.23753,510.92323,510.92323,0.1435,166,830,0,13,26,21.198,
800,217,2,4083,416.26908,0.0569,831.03177,830.5247,830.5247,0.0777,583.29,4083,1276,16,401,21.296,
800,217,4,1922,462.25433,0.1682,1845.20186,1843.98752,1844.99039,0.0852,640.67,1922,0,70,70,21.296,1
800,217,3,1272,535.59985,0.0711,1604.84231,1603.77937,1603.77937,0.0742,141.33,1272,573,56,224,21.296,
800,217,1,865,511.92436,0.0187,511.23194,510.91764,510.91764,0.0952,173,865,0,53,106,21.296,
800,218,2,4083,416.26908,0.0873,831.03177,830.5247,830.5247,0.0777,583.29,4083,1276,440,607,21.394,
800,218,3,1272,535.5999,0.0954,1604.84244,1603.77951,1603.77951,0.0904,141.33,1272,573,16,160,21.394,
800,218,1,924,488.93473,0.1076,488.2275,487.928,487.928,0.0945,22.54,924,0,11,22,21.394,
800,218,1,923,511.93612,0.0305,511.2437,510.92939,510.92939,0.1005,184.6,923,0,56,71,21.394,
800,219,2,4083,416.26908,0.0872,831.03177,830.5247,830.5247,0.0777,583.29,4083,1276,285,798,21.492,
