scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
6005,2,13084442,481.27411,0.0101,961.12423,960.53476,960.53476,0.0079,131.85,13084442,1746590
6005,2,9063344,639.8221,0.0129,1278.41252,1277.63075,1277.63075,0.0118,91.33,9063344,1940064
6005,3,7917912,579.62976,0.0229,1737.01335,1735.86909,1735.86909,0.0104,79.79,7917912,4740388
6005,2,7332420,903.9433,0.0099,1807.05942,1805.87313,1806.87604,0.0205,73.89,7332420,4112652
6005,2,6827443,1154.98799,0.0274,2309.46172,2307.96234,2308.96524,0.0291,68.8,4934751,3965972
6005,1,6309255,885.48895,0.0064,885.01946,884.48222,884.48222,0.0198,63.58,6309255,633610
6005,2,6298548,400.25357,0.007,798.98661,798.49367,798.49367,0.0061,63.47,6298548,472906
6005,2,6138894,530.28456,0.0533,1059.20069,1058.55566,1058.55566,0.0093,61.86,6138894,421699
6005,1,5780097,471.22117,0.007,470.50205,470.21441,470.21441,0.0077,58.24,5780097,0
6005,1,5398613,729.44693,0.0152,728.88181,728.4402,728.4402,0.0145,54.4,5398613,0
6005,1,5206400,401.27397,0.0148,400.51289,400.26729,400.26729,0.0059,52.46,5206400,0
6005,2,4750353,637.82096,0.0275,1274.40965,1273.62847,1273.62847,0.0124,47.87,4750353,957441
6005,2,4719197,660.34406,0.0303,1319.48327,1318.67467,1318.67467,0.013,47.55,4719197,972176
6005,1,4643159,831.47847,0.0119,830.97866,830.47175,830.47175,0.0181,46.79,4643159,327479
6005,4,4416187,579.53502,0.0714,2315.61266,2314.11237,2315.11528,0.0107,47.77,3962314,3471577
6005,2,4250115,807.37435,0.0489,1613.80884,1612.73526,1612.73526,0.0173,42.83,4250115,1825837
6005,2,4222743,492.80497,0.0096,984.19872,983.59648,983.59648,0.0082,42.55,4222743,498928
6005,1,3458279,408.24735,0.0072,407.48723,407.24057,407.24057,0.0062,34.85,3458279,0
6005,1,3266908,754.37393,0.0117,753.83103,753.36721,753.36721,0.0148,32.92,3266908,339520
6005,3,3184488,976.81177,0.0208,2929.28805,2927.41546,2928.41836,0.0228,32.09,2175748,3184488
6005,2,3164387,868.94411,0.0457,1737.01902,1735.87477,1735.87477,0.0183,31.89,3164387,1055169
6005,3,3017622,750.66705,0.0532,2250.44226,2248.98171,2249.9846,0.0154,30.41,2455804,1289708
6005,2,2930165,644.29095,0.0116,1287.35159,1286.56845,1286.56845,0.0123,29.53,2930165,601321
6005,2,2844240,597.86066,0.0321,1194.4362,1193.70786,1193.70786,0.0107,28.66,2844240,382456
6005,2,2641444,791.42443,0.0487,1581.87961,1580.83083,1580.83083,0.0173,26.62,2417950,1129810
6005,4,2596037,434.97284,0.0488,1737.00872,1735.86447,1735.86447,0.0068,26.16,2596037,835160
6005,5,2495107,463.82943,0.0987,2315.61362,2314.11349,2315.11641,0.0073,25.14,2495107,2231305
6005,3,2459809,640.99362,0.1625,1921.21721,1919.96146,1920.96439,0.012,24.79,1075987,768751
6005,2,2445993,746.87333,0.0128,1492.72764,1491.73321,1491.73321,0.0152,24.65,2445993,873734
