scan_num,scan_time,type,bpi,bpi_mz,tic,num_peaks,num_deisotoped
6005,32.6941,1,1.308444E+07,481.27411,3.143014E+09,809,190
6012,32.7265,1,1.199095E+07,481.27415,3.30819E+09,800,195
6019,32.7614,1,1.166011E+07,400.254,3.134506E+09,802,201
6026,32.7944,1,1.188759E+07,400.25383,3.327398E+09,779,195
6033,32.8267,1,1.407473E+07,400.25391,3.371433E+09,819,200
6040,32.8616,1,1.134987E+07,447.25838,3.107086E+09,809,201
6047,32.8966,1,1.754202E+07,447.25832,3.414846E+09,790,188
6054,32.9307,1,2.39601E+07,447.25837,3.816337E+09,823,205
6061,32.964,1,2.634269E+07,447.25849,3.491802E+09,800,201
6067,32.9976,1,2.787383E+07,447.25842,3.558996E+09,759,188
6074,33.0316,1,2.854594E+07,447.25851,3.278842E+09,752,195
6081,33.0659,1,2.915159E+07,447.25831,3.82375E+09,701,172
6088,33.099,1,2.736665E+07,447.2583,3.873181E+09,752,184
6095,33.1322,1,2.417541E+07,745.87649,3.586977E+09,738,178
