scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,summed_abundance
6005,2,9834345.4375,400.25357,0.6116,798.90054,798.49149,798.49149,0.0061,41.25,6298548,0,6298548
6005,1,5759729.5,401.27397,0.5104,400.36254,400.26614,400.26614,0.0059,34.1,5206400,0,5206400
6005,1,4074306.0625,408.24735,0.8127,407.39121,407.23952,407.23952,0.0062,22.65,3458279,0,3458279
6005,3,1390282.0625,417.59053,0.8626,1250.18468,1249.74813,1249.74813,0.0064,5.13,783654,0,783654
6005,4,5570516.8125,434.97284,1.3607,1736.54631,1735.86008,1735.86008,0.0068,17,2596037,0,2596037
6005,5,6872359,463.82943,1.2386,2315.07096,2314.10801,2314.10801,0.0073,16.34,2495107,0,2495107
6005,1,7166622.625,471.22117,0.9382,470.40743,470.21334,470.21334,0.0077,37.86,5780097,0,5780097
6005,2,20986588.375,481.27411,1.5206,960.99354,960.53256,960.53256,0.0079,85.7,13084442,0,13084442
6005,2,6745150.9375,492.80497,1.4905,984.04362,983.59429,983.59429,0.0082,27.66,4222743,0,4222743
6005,3,1135656.125,495.92874,0.8995,1485.24805,1484.76275,1484.76275,0.0081,3.84,586990,0,586990
6005,2,1555912.875,501.28138,0.9838,1000.90454,1000.54712,1000.54712,0.0081,6.56,1001913,0,1001913
6005,2,1638896.0625,502.77071,0.0902,1003.8115,1003.52577,1003.52577,0.0087,7.68,1172868,0,1172868
6005,2,2339741.0625,503.30492,0.6197,1005.03569,1004.5942,1004.5942,0.0083,8.58,1310105,0,1310105
6005,2,8427089.75,530.28456,0.5025,1058.82576,1058.55347,1058.55347,0.0093,40.21,6138894,0,6138894
6005,3,1464730.4375,540.96694,0.5367,1620.26119,1619.87735,1619.87735,0.0096,5.92,903853,0,903853
6005,2,1583564.6875,543.79763,0.7404,1085.90539,1085.57961,1085.57961,0.0092,7,1068679,0,1068679
6005,4,1469714.9375,550.01707,0.1183,2196.39654,2196.03698,2196.03698,0.0091,6.17,941848,0,941848
6005,3,2145904.25,554.95027,0.7089,1662.25218,1661.82735,1661.82735,0.0094,8.1,1236179,0,1236179
6005,3,2649180.875,557.9861,0.8301,1671.46984,1670.9354,1671.93825,0.01,8.1,1236698,0,1236698
6005,3,1097195.375,571.9728,0.5961,1713.4513,1712.89651,1713.89937,0.0092,3.21,489441,0,489441
6005,4,3185200.375,576.79649,2.6852,2304.06828,2303.15311,2304.15597,0.0098,7.15,1091919,0,1091919
6005,4,11850079.5,579.53502,2.3686,2315.06895,2314.10804,2315.1109,0.0108,25.95,3962314,0,3962314
6005,3,19506742,579.62976,1.7167,1736.70446,1735.8658,1735.8658,0.0104,51.86,7917912,0,7917912
6005,3,1568142.25,587.99008,0.4786,1761.57849,1760.94628,1761.94914,0.0106,3.8,579866,0,579866
6005,2,1624836.0625,597.29817,0.6043,1193.05981,1192.5807,1192.5807,0.0168,5.55,847212,0,847212
6005,2,4211986.375,597.86066,0.6227,1194.03129,1193.70566,1193.70566,0.0107,18.63,2844240,0,2844240
6005,3,1424738.5,598.62637,0.7275,1793.43572,1792.85666,1793.85952,0.0104,3.94,601468,0,601468
6005,3,4247627.0625,599.63215,1.5735,1796.66525,1795.87239,1796.87525,0.0109,10.95,1671332,0,1671332
6005,2,1450971.875,600.84735,0.5529,1200.17052,1199.67905,1199.67905,0.0111,4.85,741155,0,741155
6005,3,1918636.6875,613.31513,0.7148,1837.37579,1836.92192,1836.92192,0.0115,6.88,1050054,0,1050054
6005,2,1797318.4375,614.81828,0.5774,1227.9436,1227.6209,1227.6209,0.0113,7.98,1218214,0,1218214
6005,3,4215242.75,619.64644,2.2322,1856.6171,1855.91583,1855.91583,0.0116,13.02,1987297,0,1987297
6005,2,1937624.5,622.83741,0.8124,1244.03035,1243.65918,1243.65918,0.0117,7.99,1219229,0,1219229
6005,2,3332895.5,628.86117,0.5263,1256.02469,1255.70669,1255.70669,0.012,14.91,2276629,0,2276629
6005,3,1730103.625,634.65173,0.696,1901.39121,1900.93171,1900.93171,0.0118,6.14,938076,0,938076
6005,2,8538986.875,637.82096,1.2776,1274.18383,1273.62628,1273.62628,0.0124,31.11,4750353,0,4750353
6005,2,16666043.125,639.8221,1.5792,1278.20268,1277.62856,1277.62856,0.0118,59.36,9063344,0,9063344
6005,2,5613042.375,644.29095,0.5934,1287.15287,1286.56626,1286.56626,0.0123,19.19,2930165,0,2930165
6005,2,8430177.6875,660.34406,1.4505,1319.22988,1318.67248,1318.67248,0.013,30.91,4719197,0,4719197
6005,2,2314934.5,674.366,0.6345,1347.21546,1346.71635,1346.71635,0.0123,7.6,1159767,0,1159767
6005,3,1326143.875,680.02582,0.7493,2037.6525,2037.04849,2038.05135,0.0132,3.47,530331,0,530331
6005,2,1256126.8125,686.34681,0.9067,1371.12728,1370.67796,1370.67796,0.0134,4.54,693280,0,693280
6005,3,1196411.0625,690.72019,0.8186,2069.72397,2069.1362,2070.13906,0.0131,3.25,495645,0,495645
6005,2,2466479.4375,691.34842,0.775,1381.07167,1380.68118,1380.68118,0.0133,9.86,1505670,0,1505670
6005,4,2873501.6875,704.6067,2.3865,2815.54382,2814.39628,2816.40154,0.0146,4.86,741808,0,741808
6005,2,2923487.625,707.39763,0.5013,1413.12154,1412.77961,1412.77961,0.0147,12.63,1927814,0,1927814
6005,2,1460886.0625,714.87384,0.99,1428.17487,1427.73203,1427.73203,0.0145,5.35,817494,0,817494
6005,2,1361145.6875,717.87938,0.895,1434.1642,1433.74311,1433.74311,0.0146,5.17,789294,0,789294
6005,3,1749528.4375,719.69673,0.1435,2156.43027,2156.06671,2156.06671,0.0144,7.31,1115760,0,1115760
6005,2,4548044.1875,727.37691,1.259,1453.31608,1452.73817,1452.73817,0.0147,15.84,2418848,0,2418848
6005,1,6981920.5,729.44693,0.6771,728.66669,728.43911,728.43911,0.0145,35.36,5398613,0,5398613
6005,2,1967316.75,739.37611,0.7881,1477.1472,1476.73658,1476.73658,0.0148,7.62,1163276,0,1163276
6005,2,5251460.8125,746.87333,1.8623,1492.43409,1491.73102,1491.73102,0.0152,16.02,2445993,0,2445993
6005,3,6763135.125,750.66705,2.5996,2249.80808,2248.97845,2249.98131,0.0155,16.09,2455804,0,2455804
6005,1,4385151.125,754.37393,0.7941,753.6218,753.36611,753.36611,0.0148,21.4,3266908,0,3266908
6005,3,1737738.0625,762.02985,1.1086,2284.16018,2283.06868,2285.07384,0.0156,3.35,511466,0,511466
6005,2,1811511.5,767.8439,0.6339,1534.06176,1533.67216,1533.67216,0.0161,7.25,1106943,0,1106943
6005,3,2407162.1875,768.72606,1.8271,2304.21982,2303.15439,2304.15725,0.0148,3.74,570485,0,570485
6005,3,1659819.5,770.32733,2.2191,2308.9959,2307.95944,2308.9623,0.0153,3.28,500692,0,500692
6005,3,3242278.1875,771.36652,1.0363,2312.0467,2311.07607,2311.07607,0.0168,7.49,1143662,0,1143662
6005,3,3864725.125,772.37838,4.4275,2315.0633,2314.11229,2315.11515,0.015,8.27,1262732,0,1262732
6005,2,3469617.5625,776.95269,0.6148,1552.55543,1551.88973,1551.88973,0.0158,11.45,1747853,0,1747853
6005,2,1758517,780.90073,0.6009,1560.17357,1559.7858,1559.7858,0.0167,7.07,1078713,0,1078713
6005,2,6189205,791.42443,1.5878,1581.62404,1580.82869,1581.83155,0.0163,15.84,2417950,0,2417950
6005,2,2594769.75,791.88545,0.9747,1582.21312,1581.75524,1581.75524,0.0184,9.22,1407050,0,1407050
6005,2,8824121,807.37435,2.8183,1613.4595,1612.73306,1612.73306,0.0173,27.84,4250115,0,4250115
6005,2,1112278.90625,818.39195,0.6816,1635.33723,1634.7646,1635.76746,0.0162,3.14,478916,0,478916
6005,1,6546121.375,831.47847,0.8816,830.7624,830.47065,830.47065,0.0181,30.41,4643159,0,4643159
6005,2,7065721.25,868.94411,1.4355,1736.57664,1735.87258,1735.87258,0.0183,20.73,3164387,0,3164387
6005,1,9992133.625,885.48895,1.5642,884.91447,884.48113,884.48113,0.0198,41.32,6309255,0,6309255
6005,2,1817323.375,898.94507,0.6632,1796.31119,1795.87449,1795.87449,0.0194,6.72,1026516,0,1026516
