scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,summed_abundance
6005,2,13084442,481.27411,0.0101,961.12423,960.53476,960.53476,0.0079,128.55,13084442,1746590,20986587
6005,2,9063344,639.8221,0.0129,1278.41252,1277.63075,1277.63075,0.0118,89.05,9063344,1940064,16666043
6005,3,7917912,579.62976,0.0229,1737.01335,1735.86909,1735.86909,0.0104,77.79,7917912,4740388,20411732
6005,2,7332420,903.9433,0.0099,1807.05942,1805.87313,1806.87603,0.0205,72.04,7332420,4112652,19345132
6005,2,6827443,1154.98799,0.0274,2309.46172,2307.96234,2308.96524,0.0291,67.08,4934751,3965972,18234265
6005,1,6309255,885.48895,0.0064,885.01946,884.48222,884.48222,0.0198,61.99,6309255,633610,9992133
6005,2,6298548,400.25357,0.007,798.98661,798.49367,798.49367,0.0061,61.88,6298548,472906,9834344
6005,2,6138894,530.28456,0.0533,1059.20069,1058.55566,1058.55566,0.0093,60.31,6138894,421699,8848788
6005,1,5780097,471.22117,0.007,470.50205,470.21441,470.21441,0.0077,56.79,5780097,0,7166622
6005,1,5398613,729.44693,0.0152,728.88181,728.4402,728.4402,0.0145,53.04,5398613,0,6981920
6005,1,5206400,401.27397,0.0148,400.51289,400.26729,400.26729,0.0059,51.15,5206400,0,5759729
6005,2,4750353,637.82096,0.0275,1274.40965,1273.62847,1273.62847,0.0124,46.67,4750353,957441,8538986
6005,2,4719197,660.34406,0.0303,1319.48327,1318.67467,1318.67467,0.013,46.37,4719197,972176,8430177
6005,1,4643159,831.47847,0.0119,830.97866,830.47175,830.47175,0.0181,45.62,4643159,327479,6873600
6005,4,4416187,579.53502,0.0714,2315.61266,2314.11237,2315.11528,0.0107,46.57,3962314,3471577,17088243
6005,2,4250115,807.37435,0.0489,1613.80884,1612.73526,1612.73526,0.0173,41.76,4250115,1825837,9486568
6005,2,4222743,492.80497,0.0096,984.19872,983.59648,983.59648,0.0082,41.49,4222743,498928,6745149
6005,1,3458279,408.24735,0.0072,407.48723,407.24057,407.24057,0.0062,33.98,3458279,0,4074306
6005,1,3266908,754.37393,0.0117,753.83103,753.36721,753.36721,0.0148,32.1,3266908,339520,4724670
6005,3,3184488,976.81177,0.0208,2929.28805,2927.41546,2928.41836,0.0228,31.29,2175748,3184488,10411454
6005,2,3164387,868.94411,0.0457,1737.01902,1735.87477,1735.87477,0.0183,31.09,3164387,1055169,7065720
6005,3,3017622,750.66705,0.0532,2250.44225,2248.98171,2249.9846,0.0154,29.65,2455804,1289708,7470696
6005,2,2930165,644.29095,0.0116,1287.35159,1286.56845,1286.56845,0.0123,28.79,2930165,601321,5613042
6005,2,2844240,597.86066,0.0321,1194.4362,1193.70786,1193.70786,0.0107,27.94,2844240,382456,4594442
6005,2,2641444,791.42443,0.0487,1581.87961,1580.83083,1580.83083,0.0173,25.95,2417950,1129810,6495366
6005,4,2596037,434.97284,0.0488,1737.00872,1735.86447,1735.86447,0.0068,25.51,2596037,835160,5890826
6005,5,2495107,463.82943,0.0987,2315.61362,2314.11349,2315.1164,0.0073,24.51,2495107,2231305,7652798
6005,3,2459809,640.99362,0.1625,1921.21721,1919.96146,1920.96438,0.012,24.17,1075987,768751,4623369
6005,2,2445993,746.87333,0.0128,1492.72764,1491.73321,1491.73321,0.0152,24.03,2445993,873734,5645638
6005,2,2418848,727.37691,0.0432,1453.71757,1452.74036,1452.74036,0.0147,23.76,2418848,492304,4548043
6005,2,2276629,628.86117,0.0565,1256.47651,1255.70888,1255.70888,0.012,22.37,2276629,369927,3702821
6005,3,1987297,619.64644,0.0654,1857.14442,1855.91912,1856.92201,0.0116,19.52,1987297,716534,4533410
6005,2,1927814,707.39763,0.0811,1413.73284,1412.7818,1412.7818,0.0147,18.94,1927814,456482,3379969
6005,1,1909251,432.22211,0.0059,431.47701,431.21539,431.21539,0.0067,18.76,1909251,0,2357716
