frame_num,ims_scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,orig_intensity,TIA_orig_intensity,drift_time,flag,interference_score
500,251,1,1079,501.28873,0.1193,500.68002,500.2809,500.2809,0.0528,216.33,649,0,0,0,0,1,0.567
500,251,10,944,519.95512,-1,5192.90901,5189.47297,5192.4815,0,0,0,0,0,0,0,,1
500,251,3,3534,520.60575,0.1513,1559.35883,1558.79038,1559.79324,0.0715,1998,1536,1596,0,0,0,,0.1554
500,251,2,1696,531.77712,0.19,1061.96481,1061.53858,1061.53858,0.0775,74.77,972,758,0,0,0,,0.1408
500,251,2,2172,533.7621,0.1411,1065.98127,1065.50856,1065.50856,0.074,1874,1155,632,0,0,0,,0.2079
500,251,1,3179,535.29473,0.1818,534.69813,534.28691,534.28691,0.074,1874,1874,1204,0,0,0,1,0.5242
500,251,2,2302,536.77507,0.4008,1072.061,1071.53831,1072.54117,0.0771,133.78,1098,914,0,0,0,1,0.3916
500,251,6,1305,538.61286,0.333,3226.23921,3225.62701,3226.62987,0.0952,46.36,510,0,0,0,0,,0.7603
500,251,2,2593,544.77303,0.5947,1088.04563,1087.52827,1088.53113,0.0878,1353.14,1258,3230,0,0,0,1,0.1662
500,251,2,7246,545.7881,0.1144,1090.36886,1089.56055,1089.56055,0.0878,1353.14,3230,1820,0,0,0,,0.2356
500,251,2,25319,550.29666,0.2984,1099.55964,1098.57767,1098.57767,0.096,487.19,9472,8827,0,0,0,,0.2758
500,251,3,7677,552.93487,0.1559,1658.10093,1655.77879,1657.78378,0.096,487.19,9255,5208,0,0,0,,0.1875
500,251,4,1517,555.82455,0.4295,2219.72225,2219.26691,2219.26691,0.0857,191.5,819,2298,0,0,0,,0.2964
500,251,4,1356,556.54116,0.6333,2222.68844,2222.14084,2223.1437,0.0909,233.8,611,605,0,0,0,1,0.5055
500,251,1,1779,559.76281,0.0113,559.03029,558.75498,558.75498,0.0694,56.22,1293,368,0,0,0,1,0.81
500,251,3,2540,560.93683,0.0679,1680.38646,1679.79718,1680.80004,0.0716,79.11,1037,619,0,0,0,,0.3811
