mz	mzPPMCorrection	scan	scanPPMCorrection
411.7192	-5.328258	2273	0.1015996
510.7192	-5.331267	3597.833	-0.7022734
609.7192	-4.462226	4922.667	-0.4343157
709.7192	-3.805002	6247.5	-0.4343157
808.7192	-3.152713	7572.333	-0.7022734
907.7192	-2.935829	8897.167	-0.1663581
1007.719	-2.716622	10222	-0.1663581
1106.719	-2.716622	11546.83	-0.4343157
1205.719	-2.718259	12871.67	0.3695572
1305.719	-2.498985	14196.5	0.3695572
1404.719	-2.496132	15521.33	0.6375149
1503.719	-3.151894	16846.17	0.9054725
