peak_index	scan_num	mz	intensity	fwhm	signal_noise	MSFeatureID
1	6005	400.25357	6298548	0.0061	63.47	-1
2	6005	400.75529	3062890	0.0059	30.86	-1
3	6005	401.21458	214717	0.0059	2.16	-1
4	6005	401.25734	472906	0.0061	4.77	-1
5	6005	401.27397	5206400	0.0059	52.46	-1
6	6005	402.24414	300892	0.006	3.03	-1
7	6005	402.27736	553329	0.0061	5.58	-1
8	6005	408.24735	3458279	0.0062	34.85	-1
9	6005	409.25061	616027	0.0066	6.21	-1
10	6005	414.55709	536517	0.0062	5.41	-1
11	6005	414.89148	213919	0.0071	2.16	-1
12	6005	415.28941	565130	0.0061	5.69	-1
13	6005	415.69894	503056	0.0065	5.07	-1
14	6005	417.59053	783654	0.0064	7.9	-1
15	6005	417.92403	606628	0.0064	6.11	-1
16	6005	422.23284	223472	0.0069	2.25	-1
17	6005	423.20005	204383	0.0062	2.06	-1
18	6005	423.22157	356703	0.0063	3.59	-1
19	6005	424.21276	561785	0.0069	5.66	-1
20	6005	427.75978	1092820	0.0067	11.01	-1
21	6005	428.22132	372438	0.0105	3.75	-1
22	6005	428.26257	238798	0.0068	2.41	-1
23	6005	429.26844	727911	0.0065	7.33	-1
24	6005	432.22211	1909251	0.0067	19.24	-1
25	6005	432.23614	286969	0.0063	2.89	-1
26	6005	432.74309	350972	0.0062	3.54	-1
27	6005	433.22561	448465	0.0065	4.52	-1
28	6005	433.24605	221741	0.011	2.23	-1
29	6005	434.77662	534134	0.0065	5.38	-1
30	6005	434.97284	2596037	0.0068	26.16	-1
31	6005	435.22363	2139319	0.0067	21.56	-1
32	6005	435.47474	835160	0.0068	8.42	-1
33	6005	435.72513	320310	0.0071	3.23	-1
34	6005	435.75285	320704	0.007	3.23	-1
35	6005	439.28909	997058	0.0069	10.05	-1
36	6005	440.5754	604574	0.0072	6.09	-1
37	6005	440.91046	306883	0.0101	3.09	-1
38	6005	441.24534	813762	0.0072	8.2	-1
39	6005	441.74617	236625	0.0079	2.38	-1
40	6005	443.28395	312300	0.007	3.15	-1
41	6005	443.76892	269966	0.0066	2.72	-1
42	6005	444.25972	226282	0.0062	2.28	-1
43	6005	445.26389	612377	0.0063	6.17	-1
44	6005	445.29937	401868	0.007	4.05	-1
45	6005	445.59811	398918	0.007	4.02	-1
46	6005	446.71215	300419	0.0073	3.03	-1
47	6005	447.2574	406410	0.0066	4.1	-1
48	6005	449.22131	473306	0.0072	4.77	-1
49	6005	449.2734	267916	0.007	2.7	-1
50	6005	449.47213	220468	0.0068	2.22	-1
51	6005	450.23881	525891	0.0073	5.3	-1
52	6005	452.2665	373565	0.0075	3.76	-1
53	6005	454.87523	206268	0.0067	2.08	-1
54	6005	455.20977	265189	0.008	2.67	-1
55	6005	457.27115	214752	0.0081	2.16	-1
56	6005	458.29502	207671	0.0078	2.09	-1
57	6005	459.24133	202291	0.0108	2.04	-1
58	6005	460.25088	347303	0.0074	3.5	-1
59	6005	463.25253	1262344	0.0074	12.72	-1
60	6005	463.82943	2495107	0.0073	25.14	-1
61	6005	463.89892	253789	0.0069	2.56	-1
62	6005	464.02979	2145946	0.0072	21.62	-1
63	6005	464.2299	2231305	0.0075	22.48	-1
64	6005	464.28215	1881950	0.0075	18.96	-1
65	6005	464.43068	780440	0.008	7.86	-1
66	6005	464.77412	221203	0.0102	2.23	-1
67	6005	464.78407	443177	0.008	4.47	-1
68	6005	464.91245	426199	0.0083	4.29	-1
69	6005	465.24643	601093	0.0079	6.06	-1
70	6005	465.58118	221092	0.01	2.23	-1
71	6005	468.25075	615790	0.0082	6.21	-1
