mz	intensity	fwhm
401.273312374787	82422.67	0.005883869	
414.24879147892	81157.45	0.004983817	
421.979140198229	87851.34	0.006721307	
425.987583342558	82961.14	0.006208227	
426.237682607723	88318.56	0.007352881	
441.89769197472	72659.5	0.007514042	
442.484443057956	71852.33	0.006964589	
447.452181990237	72832.69	0.008830217	
465.247000467477	5148457	0.007426217	
466.250310566808	978343.3	0.007701046	
467.252915344854	110869.8	0.005978385	
469.778673955283	75981.11	0.006680254	
473.250441164668	85122.45	0.008841508	
474.485072709635	97994.23	0.008695559	
478.059813217184	78054.48	0.006737986	
481.286717165453	135516.9	0.008664453	
488.259843880701	70384.8	0.008252818	
491.623566997863	106134.2	0.00856151	
494.766065316769	68810.92	0.009299754	
496.301399423174	332917	0.008150224	
496.802497918976	192524.2	0.009166175	
496.971094216275	96393.47	0.007062645	
497.236307738444	71421.58	0.008170907	
497.533338137826	101022.9	0.007025523	
499.281983880188	70332.83	0.00849364	
499.694697418026	70458.91	0.007826892	
501.010628134062	110911.3	0.009643014	
502.460814527631	82106.14	0.007526203	
503.258102855839	75351.63	0.008035329	
504.268099678457	77680.83	0.01026579	
505.162463962078	69901.94	0.008129742	
505.336236619059	106194.1	0.009614066	
505.591228985032	92957.89	0.009679367	
505.971532334635	114008.6	0.01001648	
508.382870511805	83786.72	0.008605818	
509.283010693388	101492.4	0.009237065	
509.782409264697	81300.25	0.009020719	
509.951578071439	111099.1	0.006438327	
510.28455549188	120490.6	0.008761977	
511.648972982805	111079.7	0.008248927	
514.050044451434	1729328	0.009218519	
514.300933962226	1371945	0.008690066	
514.551211842611	648792.2	0.008851469	
514.801909339122	477552.8	0.009214981	
516.77119980965	77641.78	0.01179623	
516.990049502455	81323.36	0.007589213	
517.323353487974	76391.73	0.008456701	
520.238755083098	101172	0.007649372	
520.647971967422	271841.7	0.01260917	
520.981248028159	333761	0.009090443	
523.303228115691	79666.48	0.01004915	
525.305463745093	101870.4	0.007764657	
526.323112174438	373132.8	0.009591743	
526.656716351024	393696.9	0.008120061	
526.990408426647	98597.41	0.009080312	
527.255452140428	106299.2	0.009144934	
527.27080421288	69521.25	0.007626616	
527.586887520015	82560.58	0.008072877	
528.863363057828	83484.34	0.008600185	
529.315784620095	143675.7	0.007483182	
530.296744316117	78551.31	0.008010328	
530.329872661139	497029.8	0.00904067	
531.334390771855	152615.5	0.008487199	
531.997550449654	369017.8	0.008993498	
532.060157848191	126264.8	0.008535551	
532.220594364834	80398.08	0.009086928	
532.331929908608	297114.1	0.008378027	
532.665445645544	86864.17	0.009077605	
533.29131263771	88866.17	0.009097068	
533.491191845061	216258.6	0.01008404	
535.031882960115	130291.9	0.007946669	
535.322909506813	260254.4	0.01145472	
535.531917892668	76442.63	0.01192285	
535.65602033439	205398.4	0.007922229	
535.990457021912	94242	0.008061579	
537.296219525269	211374.2	0.009273914	
537.530944185281	86948.05	0.01072729	
537.78154009154	93390.5	0.009966009	
537.800913267097	304522.3	0.009709151	
538.050015022999	247394.4	0.01024013	
538.302443782948	284621	0.008146755	
540.397688386613	71788.61	0.009588879	
540.998119505943	576798.3	0.009583161	
541.064221934349	84839.8	0.008791816	
541.283072913316	136240.3	0.009322462	
541.314299601737	136166	0.01058041	
541.332526496424	571987.9	0.009977217	
541.66616105371	137564.7	0.008721628	
542.002396523272	86229.31	0.00992088	
542.801369071845	88414.31	0.00658465	
543.688303117652	135437.3	0.01062585	
544.279595005297	118763.1	0.01227471	
544.532072272229	186214	0.009568991	
545.034045016594	93739.72	0.008229402	
546.26642101015	89689.86	0.009755356	
546.67512408639	97232.39	0.009480787	
546.77261101535	89230.14	0.01655949	
546.946284141604	76886.05	0.008513662	
547.006962038	177269.7	0.008894528	
