scan	intensity
0	9815
1	8488
2	7622
3	6648
4	3966
5	1904
6	924
7	54
8	0
9	0
10	146
11	0
12	0
13	0
14	0
15	27
16	43
17	579
18	2076
19	3743
20	6416
21	7223
22	8589
23	8849
24	9027
25	7843
26	7664
27	5825
28	3115
29	1433
30	746
31	46
32	54
33	0
34	0
35	0
36	0
37	0
38	41
39	0
40	429
41	210
42	2071
43	3358
44	6279
45	8102
46	8498
47	8280
48	9489
49	8540
50	8277
51	4824
52	4649
53	2520
54	820
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	44
69	201
70	647
71	344
72	835
73	286
74	320
75	401
76	62
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	206
136	290
137	1719
138	4118
139	6073
140	8428
141	9076
142	10336
143	10054
144	9889
145	9106
146	9154
147	7710
148	5587
149	3549
150	1424
151	613
152	178
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	103
164	656
165	892
166	1237
167	1008
168	1122
169	675
170	1148
171	263
172	331
173	76
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	119
208	78
209	2411
210	3506
211	5169
212	7758
213	7972
214	9109
215	9297
216	8634
217	8066
218	7063
219	7250
220	4449
221	2644
222	899
223	489
224	1
225	0
226	0
227	0
228	0
229	61
230	44
231	137
232	455
233	548
234	2383
235	5944
236	7968
237	7790
238	9363
239	9796
240	9993
241	10199
242	8163
243	6680
244	2437
245	2305
246	531
247	315
248	72
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	131
260	109
261	161
262	435
263	671
264	426
265	545
266	420
267	206
268	181
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	30
279	60
280	306
281	901
282	2805
283	4878
284	7088
285	7968
286	9188
287	8700
288	9540
289	8465
290	8268
291	6364
292	4721
293	2013
294	1505
295	454
296	36
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	279
308	310
309	939
310	661
311	1418
312	976
313	1330
314	875
315	186
316	58
317	26
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	75
328	150
329	1247
330	3633
331	5859
332	7089
333	7022
334	8881
335	7933
336	8391
337	9269
338	8190
339	6293
340	4117
341	2604
342	1089
343	650
344	62
345	34
346	10
347	0
348	0
349	41
350	12
351	51
352	276
353	490
354	1847
355	4555
356	6589
357	8747
358	9498
359	9567
