Dataset	GrowthCondition	GrowthTime	BiolRepNum	MTID	Z	Scan	ScanStart	ScanEnd	ScanN15	ScanN15Start	ScanN15End	NET	NETN15	ChromPeaksWithinTol	ChromPeaksWithinTolN15	MonoMassIso1	MonoMassIso2	MZ1	MZ2	AbundanceIso1	AbundanceIso2	Iso1Fit	Iso2Fit	IScore1	IScore2	Iso1RatioContrib	Iso2RatioContrib	Ratio	NumPeaksInCalc
RSPH_PtoA_NL_01_rep3_6Jan08_Raptor_07-06-03	PToA_NL	0	1	27926	1	246	242	251	246	0	0	0.1325	-1.0000	1	0	808.43898	816.38645	809.44626	817.39373	2735114	189267	0.077	0.824	0.348	0.981	1.103	1.708	-0.0160355446601051	0
RSPH_PtoA_NL_08_rep1_9Jan08_Raptor_07-06-03	PToA_NL	0	2	27926	1	200	196	205	200	0	0	0.1379	-1.0000	1	0	808.43915	816.39700	809.44643	817.40427	16106173	229356	0.096	0.749	0.158	0.966	1.016	0.760	0.00575377832124337	0
RSPH_PtoA_NL_08_rep2_6Jan08_Raptor_07-11-01	PToA_NL	0	2	27926	1	442	438	447	442	0	0	0.1321	-1.0000	1	0	808.43880	816.41894	809.44608	817.42621	5169792	169422	0.059	0.866	0.120	0.962	1.016	1.210	0.0060159743454957	0
RSPH_PtoA_NL_08_rep3_9Jan08_Raptor_07-11-01	PToA_NL	0	2	27926	1	291	287	296	291	0	0	0.1361	-1.0000	1	0	808.43948	816.41640	809.44676	817.42368	2400796	179028	0.071	0.830	0.141	0.975	1.103	0.603	0.0343342368460779	0
RSPH_PtoA_NL_15_rep1_14Jan08_Raptor_07-06-01	PToA_NL	0	3	27926	1	129	125	134	129	0	0	0.1357	-1.0000	1	0	808.43898	816.40131	809.44626	817.40859	1188546	184455	0.053	0.849	0.000	0.977	1.103	0.760	0.0738200212140034	0
RSPH_PtoA_NL_15_rep1_30Jan08_Raptor_07-06-01	PToA_NL	0	3	27926	1	28	24	33	28	0	0	0.1392	-1.0000	1	0	808.43880	816.43310	809.44607	817.44038	3417658	179110	0.074	0.982	0.000	0.978	1.103	0.338	0.00849709889782947	0
RSPH_PtoA_NL_10_rep1_19Jan08_Raptor_07-06-03	PToA_NL	15	2	27926	1	158	154	162	158	0	0	0.1366	-1.0000	1	0	808.43898	816.41684	809.44626	817.42412	6511388	177715	0.072	0.910	0.039	0.976	1.016	0.686	0.0163357681257138	0
RSPH_PtoA_NL_10_rep2_6Jan08_Raptor_07-11-01	PToA_NL	15	2	27926	1	459	455	464	459	0	0	0.1338	-1.0000	1	0	808.43904	816.38751	809.44631	817.39478	4568066	178427	0.068	0.947	0.081	0.975	1.016	0.530	0.00744105372254025	0
RSPH_PtoA_NL_10_rep3_13Jan08_Raptor_07-11-01	PToA_NL	15	2	27926	1	272	268	277	272	0	0	0.1381	-1.0000	1	0	808.43966	816.40866	809.44693	817.41594	2098990	230261	0.063	0.736	0.000	0.977	1.103	0.725	0.0441402997151832	0
RSPH_PtoA_NL_17_rep1_30Jan08_Raptor_07-06-01	PToA_NL	15	3	27926	1	375	371	380	375	0	0	0.1409	-1.0000	1	0	808.43942	816.43358	809.44670	817.44086	4365554	183915	0.075	0.905	0.060	0.975	1.016	0.647	0.0221188821239328	0
RSPH_PtoA_NL_17_rep3_20Jan08_Raptor_07-06-03	PToA_NL	15	3	27926	1	505	501	510	505	0	0	0.1387	-1.0000	1	0	808.44199	816.41533	809.44927	817.42260	3188597	198263	0.040	0.745	0.107	0.974	1.016	0.751	0.0216792939805939	0
RSPH_PtoA_NL_04_rep2_6Jan08_Raptor_07-06-03	PToA_NL	45	1	27926	1	322	318	327	322	0	0	0.1355	-1.0000	1	0	808.43903	816.41547	809.44631	817.42274	4601398	222330	0.070	0.867	0.171	0.965	1.016	0.738	0.0264795527645832	0
RSPH_PtoA_NL_11_rep1_9Jan08_Raptor_07-06-03	PToA_NL	45	2	27926	1	196	193	201	196	0	0	0.1330	-1.0000	1	0	808.43966	816.42637	809.44694	817.43365	8508075	364948	0.092	0.733	0.242	0.476	1.016	1.089	0.0387608662419655	0
RSPH_PtoA_NL_18_rep3_14Jan08_Raptor_07-06-03	PToA_NL	45	3	27926	1	154	150	159	154	0	0	0.1421	-1.0000	1	0	808.43900	816.41931	809.44628	817.42658	1512988	268430	0.072	0.539	0.000	0.973	1.103	0.698	0.100107471714027	0
RSPH_PtoA_NL_12_rep1_8Jan08_Raptor_07-06-03	PToA_NL	90	2	27926	1	225	221	229	225	0	0	0.1393	-1.0000	1	0	808.43884	816.41656	809.44611	817.42384	16016049	1302982	0.080	0.252	0.117	0.000	1.016	1.089	0.11414352598881	0
RSPH_PtoA_NL_12_rep2_2Jan08_Raptor_07-11-01	PToA_NL	90	2	27926	1	423	419	428	423	0	0	0.1382	-1.0000	1	0	808.43887	816.41968	809.44615	817.42695	2863483	258746	0.053	0.624	0.128	0.967	1.103	0.891	0.0755770882524551	0
RSPH_PtoA_NL_12_rep3_7Jan08_Raptor_07-11-01	PToA_NL	90	2	27926	1	457	453	462	457	0	0	0.1356	-1.0000	1	0	808.43901	816.41557	809.44629	817.42284	5403841	480774	0.075	0.221	0.217	0.778	1.016	0.942	0.0915610911058415	0
RSPH_PtoA_NL_19_rep3_14Jan08_Raptor_07-06-03	PToA_NL	90	3	27926	1	493	489	498	493	0	0	0.1377	-1.0000	1	0	808.43933	816.42071	809.44660	817.42799	3183787	343189	0.079	0.351	0.093	0.970	1.103	0.860	0.0903256808013983	0
RSPH_PtoA_NL_13_rep1_2Jan08_Raptor_07-06-03	PToA_NL	120	2	27926	1	629	625	634	628	624	633	0.1371	0.1370	1	1	808.43871	816.41624	809.44599	817.42351	16621468	2859929	0.066	0.165	0.090	0.000	1.016	0.969	0.234522155015502	0
RSPH_PtoA_NL_13_rep2_6Jan08_Raptor_07-11-01	PToA_NL	120	2	27926	1	548	544	553	548	544	553	0.1333	0.1333	1	1	808.43888	816.41656	809.44615	817.42383	4142231	679353	0.067	0.162	0.147	0.000	1.103	1.089	0.180256830573739	0
RSPH_PtoA_NL_13_rep3r_26Jan08_Raptor_07-11-01	PToA_NL	120	2	27926	1	190	187	195	190	186	195	0.1324	0.1324	1	1	808.44132	816.42052	809.44860	817.42780	5155638	1006818	0.060	0.124	0.141	0.000	1.016	1.089	0.225220634559991	0
RSPH_PtoA_NL_20_rep1_17Jan08_Raptor_07-06-01	PToA_NL	120	3	27926	1	540	536	544	539	535	544	0.1413	0.1410	1	1	808.43919	816.41764	809.44647	817.42491	3093534	711524	0.065	0.214	0.087	0.000	1.103	1.089	0.302903763147709	0
RSPH_PtoA_NL_07_rep2_17Dec07_Raptor_07-06-03	PToA_NL	180	1	27926	1	288	284	293	287	283	292	0.1383	0.1382	1	1	808.43769	816.41627	809.44497	817.42354	1662709	1031699	0.033	0.109	0.000	0.162	1.103	1.089	0.774975522960178	0
RSPH_PtoA_NL_07_rep3_18Jan08_Raptor_07-06-03	PToA_NL	180	1	27926	1	253	249	258	252	248	257	0.1358	0.1356	1	1	808.43904	816.41676	809.44632	817.42403	13261839	5830659	0.075	0.113	0.031	0.571	1.016	0.990	0.58620131765433	0
RSPH_PtoA_NL_14_rep1_13Jan08_Raptor_07-06-03	PToA_NL	180	2	27926	1	124	120	129	124	120	129	0.1377	0.1377	1	1	808.43885	816.41609	809.44613	817.42337	8240880	3211229	0.058	0.113	0.067	0.000	1.016	1.089	0.460842056190117	0
RSPH_PtoA_NL_14_rep2_28Dec07_Raptor_07-11-01	PToA_NL	180	2	27926	1	306	302	311	306	302	311	0.1388	0.1388	1	1	808.43882	816.41614	809.44610	817.42342	3611768	1536941	0.050	0.084	0.183	0.000	1.103	1.089	0.496801763703206	0
RSPH_PtoA_NL_14_rep3_8Jan08_Raptor_07-11-01	PToA_NL	180	2	27926	1	287	283	292	286	282	291	0.1390	0.1388	1	1	808.43894	816.41637	809.44622	817.42364	2185831	956636	0.062	0.102	0.000	0.000	1.103	1.210	0.425580533942721	0
