Dataset	MassTagID	ChargeState	Scan	ScanStart	ScanEnd	NET	NumChromPeaksWithinTol	MonoisotopicMass	MonoMZ	IntensityRep	FitScore	IScore
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24792	4	2273	2270	2282	0.1684	0	1642.84789	411.71925	1164451	0.0114	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24773	3	3481	3477	3489	0.2180	0	1943.96277	648.99487	950675	0.0198	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24894	2	2645	2642	2654	0.1856	0	1416.74032	709.37743	5668103	0.0028	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24894	3	2645	2642	2654	0.1856	0	1416.73881	473.25355	2.142187E+07	0.0037	0.0974
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24949	2	2423	2420	2432	0.1728	0	1051.57083	526.79269	1.549157E+07	0.0014	0.0597
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	27687	3	2763	2757	2768	0.1922	0	1720.85820	574.62668	5398694	0.0108	0.0201
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	27687	2	2756	2753	2765	0.1920	0	1720.86167	861.43811	1061692	0.0112	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	28053	2	2763	2758	2769	0.1923	0	1090.56328	546.28891	1.927449E+07	0.0031	0.0555
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	28053	1	2763	2758	2769	0.1923	0	1090.56593	1091.57321	773675	0.0152	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	30658	2	2708	2701	2713	0.1891	0	917.51358	459.76406	9579072	0.0046	0.0563
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25875	2	3023	3020	3031	0.2009	0	1007.54488	504.77972	2.429575E+07	0.0023	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	27949	1	2756	2747	2759	0.1917	0	736.38360	737.39088	2553289	0.0077	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	56208	2	3153	3150	3162	0.2047	0	858.43376	430.22416	1.155138E+07	0.0093	0.0346
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	56208	1	3160	3153	3164	0.2047	0	858.43399	859.44126	2369762	0.0090	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	60751	3	2570	2566	2577	0.1813	0	1813.87281	605.63155	1415509	0.0325	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	60777	2	2701	2695	2707	0.1887	0	1303.64999	652.83227	9255009	0.0070	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	60777	3	2880	2875	2886	0.1967	0	1303.67448	435.56544	999271	0.0276	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	61149	2	2920	2912	2924	0.1977	0	1240.64850	621.33153	5911151	0.0713	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	69506	1	2810	2808	2820	0.1947	0	809.49496	810.50224	922889	0.0147	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	65395	2	2873	2866	2878	0.1965	0	1029.57643	515.79549	5328749	0.0033	0.0298
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	66123	2	2906	2901	2913	0.1974	0	1081.56375	541.78915	2021612	0.0204	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	68279	2	2631	2629	2641	0.1849	0	1064.56663	533.29059	1.062709E+07	0.0110	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	68279	1	2631	2623	2634	0.1845	0	1064.56902	1065.57630	722206	0.0108	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	69395	2	3077	3069	3081	0.2023	0	908.53899	455.27677	2589053	0.0377	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	61116	3	2388	2381	2392	0.1716	0	1447.62540	483.54908	723647	0.0058	0.0604
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	66144	2	3036	3033	3044	0.2013	0	1543.76713	772.89084	946867	0.0193	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24750	2	4692	4686	4698	0.2667	0	1857.87962	929.94709	1697909	0.0048	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24750	3	4692	4690	4701	0.2670	0	1857.87682	620.29955	2959351	0.0425	0.0858
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24847	2	5184	5175	5187	0.2903	0	1875.99411	939.00433	2456929	0.0190	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24847	4	5177	5174	5186	0.2903	0	1875.99510	470.00605	3298236	0.0071	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24878	3	5093	5084	5096	0.2876	0	2471.28285	824.76823	4276903	0.0186	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24893	2	3365	3360	3371	0.2112	0	1525.72067	763.86761	1141384	0.0172	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24905	2	5086	5079	5091	0.2874	0	1774.87778	888.44617	7269038	0.0057	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24793	2	5391	5388	5399	0.3018	0	1893.97320	947.99388	848374	0.0469	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24953	3	5044	5041	5053	0.2864	0	1655.89376	552.97186	1.296018E+07	0.0059	0.0479
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24889	3	3686	3679	3691	0.2253	0	1435.77709	479.59964	2843353	0.0425	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24718	2	4747	4743	4755	0.2701	0	2326.09700	1164.05578	3627009	0.0325	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25119	3	4865	4862	4874	0.2769	0	1955.93569	652.98584	2986435	0.0207	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25172	2	4236	4231	4243	0.2521	0	1305.68681	653.85068	1.779328E+07	0.0023	0.0267
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25172	1	4243	4240	4251	0.2524	0	1305.68908	1306.69635	839129	0.0500	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	26766	2	4108	4101	4112	0.2483	0	1375.70301	688.85878	2718406	0.0089	0.0520
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25008	2	3652	3644	3656	0.2244	0	986.54452	494.27954	4.588449E+07	0.0014	0.0435
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25008	1	3646	3643	3654	0.2243	0	986.54745	987.55472	9012523	0.0049	0.0173
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25047	2	5170	5166	5178	0.2900	0	1802.87316	902.44386	2.826842E+07	0.0027	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25047	3	5170	5167	5179	0.2900	0	1802.87257	601.96480	3.0281E+07	0.0039	0.0207
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	27418	2	4394	4391	4403	0.2568	0	1804.96182	903.48819	3.169734E+07	0.0044	0.0046
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	27418	3	4394	4390	4402	0.2568	0	1804.96076	602.66086	4.296022E+07	0.0050	0.0069
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	29459	2	3789	3782	3794	0.2284	0	1157.58609	579.80032	4946228	0.0198	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25684	1	3659	3654	3666	0.2246	0	1101.59801	1102.60529	1142592	0.0076	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25137	1	3446	3438	3450	0.2157	0	1072.55570	1073.56298	9048189	0.0124	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25137	2	3446	3437	3449	0.2157	0	1072.55358	537.28407	3.839199E+07	0.0025	0.0046
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31422	3	5537	5530	5541	0.3059	0	2286.08831	763.03671	2586699	0.0064	0.0453
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24716	3	6397	6394	6405	0.3391	0	2195.04082	732.68755	7471772	0.0107	0.0862
