Dataset	MassTagID	ChargeState	Scan	ScanStart	ScanEnd	NET	NumChromPeaksWithinTol	MonoisotopicMass	MonoMZ	IntensityRep	FitScore	IScore
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24698	3	5880	5876	5888	0.3160	1	2311.07759	771.36647	8247913	0.0119	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24698	4	5894	5888	5900	0.3163	1	2311.07599	578.77627	5049329	0.0139	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24698	2	5901	5895	5907	0.3165	1	2311.07570	1156.54512	810921	0.0469	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24707	3	6481	6477	6489	0.3439	2	2439.20481	814.07555	2545356	0.0076	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24707	4	6481	6477	6488	0.3439	1	2439.20407	610.80829	3609716	0.0193	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24716	3	6397	6395	6407	0.3392	1	2195.04082	732.68755	7471772	0.0107	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24716	2	6397	6392	6403	0.3390	2	2195.04395	1098.52925	1781286	0.0138	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24753	3	5866	5858	5869	0.3154	4	1900.98007	634.66730	1743649	0.0176	0.3738
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24753	2	5921	5916	5927	0.3171	2	1900.98310	951.49883	653580	0.1078	0.2184
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24753	4	5887	5882	5894	0.3161	2	1900.97846	476.25189	717290	0.0542	0.0000
