scan_num,scan_time,type,bpi,bpi_mz,tic,num_peaks,num_deisotoped,info
0,4712.7027,1,20673862,811.58617,713140032,84,5,0
13,4714.2612,1,29504248,798.73895,611303040,77,8,13
26,4715.7558,1,51328776,798.74289,736191936,99,4,26
39,4717.4223,1,90900096,798.74574,966718528,114,15,39
52,4718.9911,1,105545184,798.75149,931223360,89,11,52
65,4720.5204,1,160485456,798.75195,1368967040,87,8,65
78,4722.0161,1,136861040,798.74656,1212896640,92,10,78
91,4723.6304,1,121469824,798.7396,1218047744,101,10,91
104,4725.2198,1,108085024,798.74108,1313876736,103,11,104
117,4726.7697,1,0,0,215883,0,0,117
124,4727.6362,1,59981084,798.74075,985435200,106,9,124
137,4729.1841,1,34990236,798.74463,894403648,112,10,137
150,4730.7686,1,46942544,841.78359,924167680,123,10,150
163,4732.3473,1,60849784,841.784,963724160,110,12,163
176,4733.9597,1,66032448,841.77264,1114489472,93,11,176
189,4735.5287,1,58145368,841.76976,1243779968,105,7,189
202,4737.0436,1,42611848,841.78257,1081813376,102,6,202
215,4738.3689,1,31858490,841.785,1030331456,102,9,215
228,4739.9015,1,22946506,685.72823,1066654784,97,7,228
241,4741.5023,1,29676284,685.78182,996056768,108,8,241
254,4743.0245,1,31479116,685.75761,872276928,97,8,254
267,4744.36,1,29835932,685.87723,758353088,103,6,267
280,4745.8429,1,30408930,685.89395,811702144,123,9,280
293,4747.5057,1,28857056,685.88621,878279296,116,12,293
306,4749.0085,1,20921886,686.05454,815882240,118,8,306
319,4750.4516,1,23298484,725.68735,912196032,106,7,319
332,4751.9189,1,26368868,635.42934,845097216,103,8,332
345,4753.5281,1,34671720,635.49446,1015089920,97,6,345
358,4754.8303,1,35929320,635.42257,1014451136,90,5,358
371,4756.438,1,28530976,635.49266,960793984,88,7,371
384,4757.9663,1,25899540,629.51818,1072477248,87,4,384
397,4759.5619,1,33688548,629.5768,957313984,88,5,397
407,4760.6993,1,41951736,629.49832,1079066624,94,8,407
420,4762.3232,1,46418892,629.51434,1117669120,88,8,420
433,4763.9215,1,56335960,1037.63554,1265300864,81,4,433
446,4765.4314,1,37515000,1037.6493,993558464,85,3,446
459,4767.1685,1,35897896,1037.63231,964842944,95,2,459
461,4767.3831,1,38703116,1037.64466,1018972608,98,5,461
474,4768.8525,1,27913174,1037.64387,847330560,98,5,474
487,4770.4837,1,18889514,1037.64469,695856000,96,7,487
500,4772.1363,1,15004763,673.12509,652527488,104,6,500
513,4773.688,1,18479938,886.11142,684671744,97,8,513
526,4775.2835,1,15530280,886.08318,526912512,106,8,526
539,4777.0268,1,13357896,886.08407,446974368,120,12,539
552,4778.6834,1,13043534,886.09408,450899744,116,8,552
565,4780.3479,1,10075978,886.1187,422282464,109,6,565
578,4782.0142,1,7358794,886.10454,359701184,136,9,578
591,4783.6736,1,5007407,652.22752,309158528,147,16,591
604,4785.2317,1,6915998,652.2681,270639904,130,11,604
617,4786.972,1,12912183,652.23605,351306880,135,11,617
630,4788.6297,1,16657958,652.23589,366788704,116,4,630
643,4790.239,1,20801572,652.23731,425032416,107,9,643
656,4791.9773,1,22325558,652.24812,436865152,103,7,656
669,4793.6356,1,19572754,652.4596,442674784,101,6,669
682,4795.223,1,20439548,652.44856,517663936,104,6,682
695,4796.9613,1,16507039,868.80697,571531904,100,9,695
708,4798.6143,1,12625129,868.82215,548324800,115,7,708
721,4800.2605,1,13640491,784.50825,708636480,105,7,721
734,4801.8129,1,19811080,731.66312,945339392,121,10,734
747,4803.4552,1,25483712,731.67441,956758720,121,14,747
760,4804.7795,1,41065820,906.8259,1214164352,99,11,760
773,4806.3055,1,71803392,906.81115,1479895168,93,12,773
786,4807.6965,1,91993296,906.81273,1602364672,92,9,786
799,4809.3145,1,96852832,906.80724,1558910592,86,8,799
812,4810.9241,1,79881536,906.79674,1519229696,94,8,812
825,4812.2122,1,55357268,906.80327,1459837440,88,9,825
838,4813.7671,1,78779928,940.59767,1523519360,93,11,838
851,4815.391,1,89150208,940.58433,1350184448,93,8,851
864,4817.0637,1,69171904,940.57833,1071859584,83,6,864
877,4818.5411,1,39517648,598.04952,772357504,84,8,877
890,4820.1137,1,61678128,597.89853,755702912,91,8,890
903,4821.6579,1,89214928,597.87976,711221440,83,9,903
916,4823.3138,1,128342576,598.02734,754218624,71,4,916
929,4824.8165,1,159766800,598.38037,760329152,68,2,929
942,4826.4135,1,208702208,598.38365,880076864,59,2,942
955,4828.0255,1,258018544,598.39159,997030272,53,0,955
968,4829.5954,1,303001632,598.38501,1125612416,41,1,968
981,4831.1206,1,322149984,598.38868,1197293184,44,4,981
994,4832.8513,1,327243232,597.88921,1256003584,43,2,994
